date,open,high,low,close,volume,average,barCount
2024-03-15 09:30:00-04:00,163.37,165.18,161.25,161.48,-1.0,-1.0,-1
2024-03-15 10:00:00-04:00,161.48,164.16,161.12,162.74,-1.0,-1.0,-1
2024-03-15 11:00:00-04:00,162.74,163.79,162.2,162.88,-1.0,-1.0,-1
2024-03-15 12:00:00-04:00,162.88,162.89,160.84,160.86,-1.0,-1.0,-1
2024-03-15 13:00:00-04:00,160.86,163.27,160.77,162.88,-1.0,-1.0,-1
2024-03-15 14:00:00-04:00,162.88,163.9,162.33,163.52,-1.0,-1.0,-1
2024-03-15 15:00:00-04:00,163.52,163.77,162.67,163.59,-1.0,-1.0,-1
2024-03-18 09:30:00-04:00,170.06,170.15,165.91,167.37,-1.0,-1.0,-1
2024-03-18 10:00:00-04:00,167.37,173.07,166.82,173.0,-1.0,-1.0,-1
2024-03-18 11:00:00-04:00,173.0,174.72,172.74,173.66,-1.0,-1.0,-1
2024-03-18 12:00:00-04:00,173.66,173.76,172.48,172.98,-1.0,-1.0,-1
2024-03-18 13:00:00-04:00,172.98,173.47,171.93,173.27,-1.0,-1.0,-1
2024-03-18 14:00:00-04:00,173.27,174.24,173.1,173.43,-1.0,-1.0,-1
2024-03-18 15:00:00-04:00,173.43,174.41,173.22,173.92,-1.0,-1.0,-1
2024-03-19 09:30:00-04:00,172.3,172.8,167.43,168.91,-1.0,-1.0,-1
2024-03-19 10:00:00-04:00,168.91,171.41,168.31,170.49,-1.0,-1.0,-1
2024-03-19 11:00:00-04:00,170.49,172.33,170.32,171.53,-1.0,-1.0,-1
2024-03-19 12:00:00-04:00,171.53,172.4,170.99,171.82,-1.0,-1.0,-1
2024-03-19 13:00:00-04:00,171.82,172.7,171.11,171.46,-1.0,-1.0,-1
2024-03-19 14:00:00-04:00,171.46,172.2,170.56,171.66,-1.0,-1.0,-1
2024-03-19 15:00:00-04:00,171.66,171.93,171.03,171.31,-1.0,-1.0,-1
2024-03-20 09:30:00-04:00,173.03,174.32,171.42,171.86,-1.0,-1.0,-1
2024-03-20 10:00:00-04:00,171.86,173.16,170.83,172.9,-1.0,-1.0,-1
2024-03-20 11:00:00-04:00,172.9,173.51,172.61,172.84,-1.0,-1.0,-1
2024-03-20 12:00:00-04:00,172.84,173.06,171.76,172.84,-1.0,-1.0,-1
2024-03-20 13:00:00-04:00,172.84,173.39,172.54,173.11,-1.0,-1.0,-1
2024-03-20 14:00:00-04:00,173.11,175.61,172.49,174.93,-1.0,-1.0,-1
2024-03-20 15:00:00-04:00,174.93,176.24,174.53,175.73,-1.0,-1.0,-1
2024-03-21 09:30:00-04:00,176.4,178.15,174.33,174.4,-1.0,-1.0,-1
2024-03-21 10:00:00-04:00,174.4,175.8,173.81,175.29,-1.0,-1.0,-1
2024-03-21 11:00:00-04:00,175.29,175.95,173.76,174.22,-1.0,-1.0,-1
2024-03-21 12:00:00-04:00,174.22,174.75,173.79,174.08,-1.0,-1.0,-1
2024-03-21 13:00:00-04:00,174.08,174.08,172.31,172.41,-1.0,-1.0,-1
2024-03-21 14:00:00-04:00,172.41,173.01,171.81,172.93,-1.0,-1.0,-1
2024-03-21 15:00:00-04:00,172.93,173.36,172.71,172.79,-1.0,-1.0,-1
2024-03-22 09:30:00-04:00,166.65,168.99,166.32,168.14,-1.0,-1.0,-1
2024-03-22 10:00:00-04:00,168.14,170.03,168.06,169.69,-1.0,-1.0,-1
2024-03-22 11:00:00-04:00,169.69,170.73,169.04,169.66,-1.0,-1.0,-1
2024-03-22 12:00:00-04:00,169.66,169.91,168.72,169.63,-1.0,-1.0,-1
2024-03-22 13:00:00-04:00,169.63,170.81,169.51,170.21,-1.0,-1.0,-1
2024-03-22 14:00:00-04:00,170.21,171.2,170.16,170.74,-1.0,-1.0,-1
2024-03-22 15:00:00-04:00,170.74,171.15,170.24,170.79,-1.0,-1.0,-1
2024-03-25 09:30:00-04:00,168.75,175.23,168.74,172.58,-1.0,-1.0,-1
2024-03-25 10:00:00-04:00,172.58,172.66,169.55,169.97,-1.0,-1.0,-1
2024-03-25 11:00:00-04:00,169.97,172.07,169.97,171.88,-1.0,-1.0,-1
2024-03-25 12:00:00-04:00,171.88,173.08,171.67,172.86,-1.0,-1.0,-1
2024-03-25 13:00:00-04:00,172.86,172.87,172.18,172.6,-1.0,-1.0,-1
